authority_code,authority_name,tier,tier_label,region,election_year,fi_value,n_parties,turnout_pct,is_whole_council,n_wards_observed
E09000008,Croydon,2,London Borough,London,2016,2.1451033250051696,7,44.03452975920036,False,1
E09000008,Croydon,2,London Borough,London,2018,2.6134967224402446,9,11.416176924673378,False,28
E09000008,Croydon,2,London Borough,London,2022,2.433108730886299,11,26.311151385399867,True,102
E09000009,Ealing,2,London Borough,London,2014,2.654614454504854,8,14.665677608126765,False,23
E09000009,Ealing,2,London Borough,London,2015,3.140736007027297,5,72.84996861268048,False,1
E09000009,Ealing,2,London Borough,London,2018,2.5091332012829386,9,15.64900798288673,False,23
E09000009,Ealing,2,London Borough,London,2022,2.1052842331789496,10,26.110115351245252,True,111
E09000010,Enfield,2,London Borough,London,2014,2.6112296882068238,9,14.76438994971056,False,21
E09000010,Enfield,2,London Borough,London,2015,2.368953072203425,5,60.00214638334406,False,1
E09000010,Enfield,2,London Borough,London,2018,2.3534921374535633,9,13.993359998882466,False,21
E09000010,Enfield,2,London Borough,London,2022,2.352711854779405,8,29.4616759347179,True,76
E09000011,Greenwich,2,London Borough,London,2014,2.7412601142151036,8,15.10353227771011,False,17
E09000011,Greenwich,2,London Borough,London,2015,3.6883579591984805,7,70.65287653522948,False,1
E09000011,Greenwich,2,London Borough,London,2016,2.7412910950207925,7,41.23438782022062,False,1
E09000011,Greenwich,2,London Borough,London,2018,2.606478165054126,13,13.186936339131409,False,17
E09000011,Greenwich,2,London Borough,London,2022,2.1881216668679757,11,30.505384902179415,True,63
E09000012,Hackney,2,London Borough,London,2014,2.4987295740888142,7,13.511900037042917,False,21
E09000012,Hackney,2,London Borough,London,2016,2.3081708574002744,5,52.45642701525054,False,2
E09000012,Hackney,2,London Borough,London,2018,2.248715126448411,8,14.19455037226061,False,21
E09000012,Hackney,2,London Borough,London,2022,2.3973225190085587,9,27.75500152831877,True,39
E09000013,Hammersmith and Fulham,2,London Borough,London,2014,2.537205149906798,8,13.871284978990257,False,16
E09000013,Hammersmith and Fulham,2,London Borough,London,2018,2.36873125051384,6,13.926372228422474,False,16
E09000013,Hammersmith and Fulham,2,London Borough,London,2022,1.8686902413723883,8,25.05079223083663,True,37
