scenario_id,authority_code,authority_name,tier,election_active_2026,metric,P10,P50,P90,notes,point_estimate
S1,E08000007,Stockport,1,True,delta_fi,-1.118839720514628,0.029483279485371855,0.7870319794853821,,-0.10059145384796153
S1,E08000007,Stockport,1,True,swing_concentration,2.954352333333391,4.416760333333391,6.4283773333333905,,4.500000000000058
S1,E08000007,Stockport,1,True,turnout_delta,-13.069386666666666,-0.39668666666666574,8.044413333333335,,0.0
S1,E08000007,Stockport,1,True,volatility_score,-12.543881193590643,-2.1551981935906452,18.240254806409354,,1.949704273076022
S2,E08000007,Stockport,1,True,delta_fi,-0.9463770905875852,0.10495190941241475,1.0264519094124145,,0.07187117607908133
S2,E08000007,Stockport,1,True,swing_concentration,2.954352333333291,4.36401633333329,5.848370533333378,,4.499999999999957
S2,E08000007,Stockport,1,True,turnout_delta,-10.888086666666666,-0.39668666666666574,6.440913333333334,,0.0
S2,E08000007,Stockport,1,True,volatility_score,-12.957649878627125,-2.5689668786271262,19.019146121372874,,1.5359355880395407
S3,E08000007,Stockport,1,True,delta_fi,-1.2235006743062165,-0.17217167430621647,0.7493283256937834,,-0.20525240763954988
S3,E08000007,Stockport,1,True,swing_concentration,2.9543523333333583,4.364016333333358,6.4283773333333585,,4.500000000000025
S3,E08000007,Stockport,1,True,turnout_delta,-10.888086666666666,-0.39668666666666574,8.044413333333335,,0.0
S3,E08000007,Stockport,1,True,volatility_score,-10.596211670486442,1.1239033295135563,21.38058432951356,,3.897373796180224
S4,E08000007,Stockport,1,True,delta_fi,-1.0182482666666666,0.03308073333333342,0.8801837333333334,copied_from_s0,0.0
S4,E08000007,Stockport,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S4,E08000007,Stockport,1,True,turnout_delta,-11.106216666666654,-1.608686666666666,6.440913333333334,,0.0
S4,E08000007,Stockport,1,True,volatility_score,-13.74346446666667,-4.104902466666667,16.29055053333333,copied_from_s0,0.0
S5,E08000007,Stockport,1,True,delta_fi,-1.0182482666666666,0.03308073333333342,0.8801837333333334,copied_from_s0,0.0
S5,E08000007,Stockport,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S5,E08000007,Stockport,1,True,turnout_delta,-10.888086666666666,-1.608686666666666,6.440913333333334,copied_from_s0,0.0
S5,E08000007,Stockport,1,True,volatility_score,-13.74346446666667,-4.104902466666667,16.29055053333333,copied_from_s0,0.0
S0,E08000008,Tameside,1,True,delta_fi,-1.0182482666666666,0.1300747333333334,0.9545807333333333,,0.0
S0,E08000008,Tameside,1,True,swing_concentration,1.0,1.0,2.928377333333333,,1.0
S0,E08000008,Tameside,1,True,turnout_delta,-10.888086666666666,-1.608686666666666,6.440913333333334,,0.0
S0,E08000008,Tameside,1,True,volatility_score,-14.493585466666666,-4.104902466666667,16.29055053333333,,0.0
S1,E08000008,Tameside,1,True,delta_fi,-0.9646064036309807,0.08672259636901927,0.9338255963690193,,0.053641863035685855
S1,E08000008,Tameside,1,True,swing_concentration,1.954352333333346,3.416760333333346,4.783925333333346,,3.5000000000000124
S1,E08000008,Tameside,1,True,turnout_delta,-13.069386666666666,-1.608686666666666,8.044413333333335,,0.0
S1,E08000008,Tameside,1,True,volatility_score,-12.466764535148826,-0.746649535148828,18.31737146485117,,2.0268209315178396
S2,E08000008,Tameside,1,True,delta_fi,-1.0966477347780894,-0.013015734778089455,0.8340872652219106,,-0.04609646811142287
S2,E08000008,Tameside,1,True,swing_concentration,1.9543523333333335,3.4167603333333334,4.783925333333333,,3.5
S2,E08000008,Tameside,1,True,turnout_delta,-10.888086666666666,-1.608686666666666,6.440913333333334,,0.0
S2,E08000008,Tameside,1,True,volatility_score,-13.016633700722377,-2.6279507007223786,17.76750229927762,,1.4769517659442886
S3,E08000008,Tameside,1,True,delta_fi,-0.9240964601339845,0.22745683986601525,1.051962839866015,,0.09738210653268187
S3,E08000008,Tameside,1,True,swing_concentration,2.3747243333333348,3.4167603333333343,5.428377333333334,,3.500000000000001
S3,E08000008,Tameside,1,True,turnout_delta,-10.888086666666666,-0.39668666666666574,8.044413333333335,,0.0
S3,E08000008,Tameside,1,True,volatility_score,-10.444894413400327,-0.05621141340032754,21.531901586599673,,4.04869105326634
S4,E08000008,Tameside,1,True,delta_fi,-1.0182482666666666,0.1300747333333334,0.9545807333333333,copied_from_s0,0.0
